Tentative Time Table for Semester I (2026-28),,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,DT-11,FRA-17,MM-12,MC-I-11,SM-11,,MC-I-12,OM-9,ILR-15,OM-11,,,,,,,,
6,3:10,4:00,,FRA-18,,,SM-12,,,,,ILR-15,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week9,,24-Aug,,25-Aug,,26-Aug,,27-Aug,,28-Aug,,29-Aug,,30-Aug,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,DT-13,MM-14,DT-14,,,OB-13,,Raksha Bandhan,,,,,,,,,
2,10:10,11:00,ME-19,HAW-1,MC-I-13,MM-14,ME-20,,MC-I-14,,,,,,,,,,,
3,11:10,12:00,FRA-20,ME-19,OB-12,MC-I-13,FRA-21,ME-20,OM-12,OB-13,,,,,,,,,,
4,12:10,1:00,DT-13,FRA-20,DT-14,OB-12,FRA-22,MM-15,OM-13,MC-I-14,,,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,,SM-13,,,SM-13,FRA-21,,OM-12,Raksha Bandhan,,,,,,,,,
6,3:10,4:00,,SM-14,,,SM-14,FRA-22,,OM-13,,,,,,,,,,
7,4:10,5:00,,,,,MM-15,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week10,,31-Aug,,1-Sep,,2-Sep,,3-Sep,,4-Sep,,5-Sep,,6-Sep,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,DT-15,MM-16,DT-16,MM-17,,OB-15,,Janmashtami,,,,,,,,,
2,10:10,11:00,ME-21,HAW-1,,MM-16,ME-22,,MC-I-16,,,,,,,,,,,
3,11:10,12:00,DT-15,ME-21,FRA-24,OB-14,FRA-25,MM-17,OM-14,OB-15,,,,,,,,,,
4,12:10,1:00,FRA-23,,OB-14,MC-I-15,FRA-26,ME-22,OM-15,MC-I-16,,,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
